user_id,group,device,age,country,sessions,session_duration,pages_viewed,add_to_cart,purchased,revenue,satisfaction,signup_date
100001,Control,Desktop,36,Bangladesh,3,14.54,6,1,0,0.0,3.0,2026-07-09
100002,Treatment,Mobile,34,Bangladesh,4,16.76,13,0,0,0.0,2.6,2026-06-19
100003,Treatment,Mobile,18,Bangladesh,6,18.03,14,0,1,55.76,3.4,2026-04-21
100004,Treatment,Desktop,28,Bangladesh,4,34.88,4,0,0,0.0,3.7,2026-06-07
100005,Control,Mobile,41,Bangladesh,5,3.92,14,1,0,0.0,3.4,2026-07-15
100006,Control,Desktop,21,Bangladesh,5,1.88,12,0,0,0.0,3.4,2026-05-17
100007,Control,Tablet,26,Bangladesh,4,6.75,9,0,0,0.0,2.4,2026-03-28
100008,Treatment,Mobile,56,India,4,16.91,7,0,0,0.0,2.6,2026-05-01
100009,Treatment,Desktop,34,India,2,4.88,3,0,0,0.0,2.9,2026-01-22
100010,Treatment,Mobile,29,Bangladesh,2,15.89,2,0,0,0.0,4.0,2026-01-30
100011,Control,Mobile,27,UK,4,4.58,10,0,0,0.0,2.7,2026-01-24
100012,Treatment,Mobile,34,India,4,29.81,10,1,0,0.0,3.7,2026-01-22
100013,Treatment,Mobile,37,USA,3,19.19,2,1,0,0.0,3.1,2026-08-06
100014,Control,Mobile,18,Canada,7,5.39,24,1,0,0.0,3.4,2026-04-23
100015,Control,Mobile,18,Bangladesh,6,5.9,10,1,1,46.55,4.0,2026-06-19
100016,Control,Desktop,22,Bangladesh,2,5.62,5,1,1,41.23,3.9,2026-05-19
100017,Control,Desktop,30,Bangladesh,5,14.29,11,0,0,0.0,2.8,2026-07-04
100018,Treatment,Tablet,32,Bangladesh,6,10.91,14,1,0,0.0,3.8,2026-04-10
100019,Control,Mobile,18,Bangladesh,11,18.9,22,1,0,0.0,4.0,2026-02-12
100020,Control,Mobile,29,,1,13.71,3,1,0,0.0,4.3,2026-04-01
100021,Treatment,Mobile,30,Bangladesh,4,11.88,10,0,0,0.0,4.2,2026-04-09
100022,Control,Mobile,23,Canada,2,10.02,3,0,0,0.0,3.8,2026-06-16
100023,Control,Mobile,26,USA,5,8.66,6,0,0,0.0,2.7,2026-01-05
100024,Control,Desktop,24,India,7,4.64,15,0,0,0.0,2.3,2026-04-13
100025,Control,Mobile,35,Bangladesh,4,6.6,10,1,0,0.0,3.4,2026-05-18
100026,Treatment,Mobile,31,India,5,6.11,8,0,0,0.0,2.5,2026-07-02
100027,Control,Mobile,21,Bangladesh,4,6.0,11,0,0,0.0,2.8,2026-05-04
100028,Treatment,Mobile,40,Bangladesh,1,4.85,2,1,0,0.0,3.0,2026-01-16
100029,Treatment,Mobile,19,UK,7,4.87,12,0,0,0.0,3.5,2026-02-11
100030,Control,Mobile,18,Bangladesh,6,7.87,18,1,0,0.0,3.8,2026-06-12
100031,Treatment,Desktop,29,India,5,9.28,12,1,1,77.32,3.1,2026-04-10
100032,Control,Mobile,29,UK,6,2.05,15,0,0,0.0,3.1,2026-07-18
